symbol,name,sw1_name,sw2_name,sw3_name,sw3_code
600313,农发种业,农林牧渔,种植业,种子,850111.SI
000713,国投丰乐,农林牧渔,种植业,种子,850111.SI
000998,隆平高科,农林牧渔,种植业,种子,850111.SI
300087,荃银高科,农林牧渔,种植业,种子,850111.SI
300189,神农种业,农林牧渔,种植业,种子,850111.SI
600371,万向德农,农林牧渔,种植业,种子,850111.SI
600354,敦煌种业,农林牧渔,种植业,种子,850111.SI
002041,登海种业,农林牧渔,种植业,种子,850111.SI
601118,海南橡胶,农林牧渔,种植业,其他种植业,850113.SI
603336,宏辉果蔬,农林牧渔,种植业,其他种植业,850113.SI
002215,诺普信,农林牧渔,种植业,其他种植业,850113.SI
600359,新农开发,农林牧渔,种植业,其他种植业,850113.SI
600108,亚盛集团,农林牧渔,种植业,其他种植业,850113.SI
600540,新赛股份,农林牧渔,种植业,其他种植业,850113.SI
002069,獐子岛,农林牧渔,渔业,水产养殖,850122.SI
300094,国联水产,农林牧渔,渔业,水产养殖,850122.SI
600467,好当家,农林牧渔,渔业,水产养殖,850122.SI
600257,大湖股份,农林牧渔,渔业,水产养殖,850122.SI
603363,傲农生物,农林牧渔,饲料,畜禽饲料,850142.SI
000702,正虹科技,农林牧渔,饲料,畜禽饲料,850142.SI
002548,金新农,农林牧渔,饲料,畜禽饲料,850142.SI
001366,播恩集团,农林牧渔,饲料,畜禽饲料,850142.SI
603609,禾丰股份,农林牧渔,饲料,畜禽饲料,850142.SI
688156,路德科技,农林牧渔,饲料,畜禽饲料,850142.SI
002567,唐人神,农林牧渔,饲料,畜禽饲料,850142.SI
002100,天康生物,农林牧渔,饲料,畜禽饲料,850142.SI
603151,邦基科技,农林牧渔,饲料,畜禽饲料,850142.SI
002385,大北农,农林牧渔,饲料,畜禽饲料,850142.SI
605198,安德利,农林牧渔,农产品加工,果蔬加工,850151.SI
600962,国投中鲁,农林牧渔,农产品加工,果蔬加工,850151.SI
000972,*ST中基,农林牧渔,农产品加工,果蔬加工,850151.SI
300175,ST朗源,农林牧渔,农产品加工,果蔬加工,850151.SI
600251,冠农股份,农林牧渔,农产品加工,果蔬加工,850151.SI
000019,深粮控股,农林牧渔,农产品加工,粮油加工,850152.SI
002852,道道全,农林牧渔,农产品加工,粮油加工,850152.SI
300999,金龙鱼,农林牧渔,农产品加工,粮油加工,850152.SI
600127,金健米业,农林牧渔,农产品加工,粮油加工,850152.SI
000505,京粮控股,农林牧渔,农产品加工,粮油加工,850152.SI
603231,索宝蛋白,农林牧渔,农产品加工,粮油加工,850152.SI
603182,嘉华股份,农林牧渔,农产品加工,粮油加工,850152.SI
001338,永顺泰,农林牧渔,农产品加工,其他农产品加工,850154.SI
003030,祖名股份,农林牧渔,农产品加工,其他农产品加工,850154.SI
000911,广农糖业,农林牧渔,农产品加工,其他农产品加工,850154.SI
600737,中粮糖业,农林牧渔,农产品加工,其他农产品加工,850154.SI
000930,中粮科技,农林牧渔,农产品加工,其他农产品加工,850154.SI
002286,保龄宝,农林牧渔,农产品加工,其他农产品加工,850154.SI
002481,双塔食品,农林牧渔,农产品加工,其他农产品加工,850154.SI
300138,晨光生物,农林牧渔,农产品加工,其他农产品加工,850154.SI
600191,华资实业,农林牧渔,农产品加工,其他农产品加工,850154.SI
300268,*ST佳沃,农林牧渔,农产品加工,其他农产品加工,850154.SI
002157,正邦科技,农林牧渔,养殖业,生猪养殖,850172.SI
603717,天域生物,农林牧渔,养殖业,生猪养殖,850172.SI
600975,新五丰,农林牧渔,养殖业,生猪养殖,850172.SI
000048,京基智农,农林牧渔,养殖业,生猪养殖,850172.SI
000735,罗牛山,农林牧渔,养殖业,生猪养殖,850172.SI
000876,新希望,农林牧渔,养殖业,生猪养殖,850172.SI
002714,牧原股份,农林牧渔,养殖业,生猪养殖,850172.SI
300498,温氏股份,农林牧渔,养殖业,生猪养殖,850172.SI
603477,巨星农牧,农林牧渔,养殖业,生猪养殖,850172.SI
001201,东瑞股份,农林牧渔,养殖业,生猪养殖,850172.SI
002124,天邦食品,农林牧渔,养殖业,生猪养殖,850172.SI
605296,神农集团,农林牧渔,养殖业,生猪养殖,850172.SI
002299,圣农发展,农林牧渔,养殖业,肉鸡养殖,850173.SI
002982,湘佳股份,农林牧渔,养殖业,肉鸡养殖,850173.SI
300967,晓鸣股份,农林牧渔,养殖业,肉鸡养殖,850173.SI
002458,益生股份,农林牧渔,养殖业,肉鸡养殖,850173.SI
300761,立华股份,农林牧渔,养殖业,肉鸡养殖,850173.SI
301116,益客食品,农林牧渔,养殖业,肉鸡养殖,850173.SI
002234,民和股份,农林牧渔,养殖业,肉鸡养殖,850173.SI
002746,仙坛股份,农林牧渔,养殖业,肉鸡养殖,850173.SI
600195,中牧股份,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
300871,回盛生物,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
600201,生物股份,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
002688,金河生物,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
002868,*ST绿康,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
002141,贤丰控股,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
603566,普莱柯,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
688526,科前生物,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
688098,申联生物,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
300119,瑞普生物,农林牧渔,动物保健Ⅱ,动物保健Ⅲ,850181.SI
600935,华塑股份,基础化工,化学原料,氯碱,850322.SI
000510,新金路,基础化工,化学原料,氯碱,850322.SI
601678,滨化股份,基础化工,化学原料,氯碱,850322.SI
603213,镇洋发展,基础化工,化学原料,氯碱,850322.SI
002386,天原股份,基础化工,化学原料,氯碱,850322.SI
000818,航锦科技,基础化工,化学原料,氯碱,850322.SI
601216,君正集团,基础化工,化学原料,氯碱,850322.SI
600319,亚星化学,基础化工,化学原料,氯碱,850322.SI
601568,北元集团,基础化工,化学原料,氯碱,850322.SI
000635,英力特,基础化工,化学原料,氯碱,850322.SI
600075,新疆天业,基础化工,化学原料,氯碱,850322.SI
002092,中泰化学,基础化工,化学原料,氯碱,850322.SI
600618,氯碱化工,基础化工,化学原料,氯碱,850322.SI
002748,世龙实业,基础化工,化学原料,氯碱,850322.SI
600714,金瑞矿业,基础化工,化学原料,无机盐,850323.SI
600367,红星发展,基础化工,化学原料,无机盐,850323.SI
600929,雪天盐业,基础化工,化学原料,无机盐,850323.SI
603067,振华股份,基础化工,化学原料,无机盐,850323.SI
003017,大洋生物,基础化工,化学原料,无机盐,850323.SI
301256,华融化学,基础化工,化学原料,无机盐,850323.SI
600328,中盐化工,基础化工,化学原料,无机盐,850323.SI
603663,三祥新材,基础化工,化学原料,无机盐,850323.SI
600784,鲁银投资,基础化工,化学原料,无机盐,850323.SI
603299,苏盐井神,基础化工,化学原料,无机盐,850323.SI
301190,善水科技,基础化工,化学原料,其他化学原料,850324.SI
600423,柳化股份,基础化工,化学原料,其他化学原料,850324.SI
300082,奥克股份,基础化工,化学原料,其他化学原料,850324.SI
603113,金能科技,基础化工,化学原料,其他化学原料,850324.SI
600610,中毅达,基础化工,化学原料,其他化学原料,850324.SI
301118,恒光股份,基础化工,化学原料,其他化学原料,850324.SI
002109,兴化股份,基础化工,化学原料,其他化学原料,850324.SI
002648,卫星化学,基础化工,化学原料,其他化学原料,850324.SI
603938,三孚股份,基础化工,化学原料,其他化学原料,850324.SI
300927,江天化学,基础化工,化学原料,其他化学原料,850324.SI
000691,*ST亚太,基础化工,化学原料,其他化学原料,850324.SI
001217,华尔泰,基础化工,化学原料,其他化学原料,850324.SI
600955,维远股份,基础化工,化学原料,其他化学原料,850324.SI
301069,凯盛新材,基础化工,化学原料,其他化学原料,850324.SI
000990,诚志股份,基础化工,化学原料,煤化工,850325.SI
600623,华谊集团,基础化工,化学原料,煤化工,850325.SI
600746,江苏索普,基础化工,化学原料,煤化工,850325.SI
600844,金煤科技,基础化工,化学原料,煤化工,850325.SI
600722,金牛化工,基础化工,化学原料,煤化工,850325.SI
600989,宝丰能源,基础化工,化学原料,煤化工,850325.SI
000830,鲁西化工,基础化工,化学原料,煤化工,850325.SI
002274,华昌化工,基础化工,化学原料,煤化工,850325.SI
