date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,5.7479
2025-02-27,,,5.9105
2025-02-28,,,5.8542
2025-03-03,,,5.8292
2025-03-04,,,5.8729
2025-03-05,,,5.9793
2025-03-06,,,5.8917
2025-03-07,,,5.8792
2025-03-10,,,5.8667
2025-03-11,,,5.9292
2025-03-12,,,5.8542
2025-03-13,,,5.9042
2025-03-14,,,5.8667
2025-03-17,,,5.8479
2025-03-18,,,5.8229
2025-03-19,,,5.8542
2025-03-20,,,5.8542
2025-03-21,,,5.7604
2025-03-24,,,5.8229
2025-03-25,,,5.898
2025-03-26,,,5.9042
2025-03-27,,,5.948
2025-03-28,,,5.9855
2025-03-31,,,6.1224
2025-04-01,,,6.1969
2025-04-02,,,6.2653
2025-04-03,,,6.3275
2025-04-07,,,6.2032
2025-04-08,,,6.2778
2025-04-09,,,6.2715
2025-04-10,,,6.3088
2025-04-11,,,6.1969
2025-04-14,,,6.1721
2025-04-15,,,6.2342
2025-04-16,,,6.4394
2025-04-17,,,6.5202
2025-04-18,,,6.5823
2025-04-21,,,6.4829
2025-04-22,,,6.5139
2025-04-23,,,6.458
2025-04-24,,,6.5699
2025-04-25,,,6.4953
2025-04-28,,,6.5885
2025-04-29,,,6.5637
2025-04-30,,,6.4518
2025-05-06,,,6.4269
2025-05-07,,,6.4891
2025-05-08,,,6.4891
2025-05-09,,,6.6196
2025-05-12,,,6.6196
2025-05-13,,,6.8682
2025-05-14,,,6.918
2025-05-15,,,6.862
2025-05-16,,,6.8434
2025-05-19,,,6.8744
2025-05-20,,,6.8372
2025-05-21,,,6.8807
2025-05-22,,,6.9801
2025-05-23,,,6.8061
2025-05-26,,,6.7004
2025-05-27,,,6.6818
2025-05-28,,,6.5575
2025-05-29,,,6.5823
2025-05-30,,,6.5761
2025-06-03,,,6.8496
2025-06-04,,,6.7377
2025-06-05,,,6.6507
2025-06-06,,,6.6134
2025-06-09,,,6.6134
2025-06-10,,,6.6072
2025-06-11,,,6.632
2025-06-12,,,6.5761
2025-06-13,,,6.4642
2025-06-16,,,6.5077
2025-06-17,,,6.4767
2025-06-18,,,6.6631
2025-06-19,,,6.7439
2025-06-20,,,6.8247
2025-06-23,,,6.8434
2025-06-24,,,6.7439
2025-06-25,,,6.7439
2025-06-26,,,6.7936
2025-06-27,,,6.6072
2025-06-30,,,6.5603
2025-07-01,,,6.6283
2025-07-02,,,6.8199
2025-07-03,,,6.9003
2025-07-04,,,7.0673
2025-07-07,,,7.0363
2025-07-08,,,6.9374
2025-07-09,,,6.9436
2025-07-10,,,6.9127
2025-07-11,,,6.7457
2025-07-14,,,6.8076
2025-07-15,,,6.7519
2025-07-16,,,6.7396
2025-07-17,,,6.7086
2025-07-18,,,6.8199
2025-07-21,,,6.721
2025-07-22,,,6.6283
2025-07-23,,,6.6097
2025-07-24,,,6.4551
2025-07-25,,,6.4304
2025-07-28,,,6.5046
2025-07-29,,,6.3809
2025-07-30,,,6.4057
2025-07-31,,,6.3253
2025-08-01,,,6.35
2025-08-04,,,6.3562
2025-08-05,,,6.4861
2025-08-06,,,6.4922
2025-08-07,,,6.4737
2025-08-08,,,6.4675
2025-08-11,,,6.3871
2025-08-12,,,6.3748
2025-08-13,,,6.3006
2025-08-14,,,6.2758
2025-08-15,,,6.1769
2025-08-18,,,6.1645
2025-08-19,,,6.1645
2025-08-20,,,6.1707
2025-08-21,,,6.1769
2025-08-22,,,6.1274
2025-08-25,,,6.1522
2025-08-26,,,6.0471
2025-08-27,,,5.9358
2025-08-28,,,5.9605
2025-08-29,,,5.8987
2025-09-01,,,5.8616
2025-09-02,,,5.9605
2025-09-03,,,5.8987
2025-09-04,,,5.8739
2025-09-05,,,5.8121
2025-09-08,,,5.775
2025-09-09,,,5.8121
2025-09-10,,,5.8121
2025-09-11,,,5.8245
2025-09-12,,,5.7565
2025-09-15,,,5.7317
2025-09-16,,,5.7194
2025-09-17,,,5.7194
2025-09-18,,,5.6081
2025-09-19,,,5.5833
2025-09-22,,,5.5524
2025-09-23,,,5.6081
2025-09-24,,,5.6142
2025-09-25,,,5.5339
2025-09-26,,,5.5895
2025-09-29,,,5.571
2025-09-30,,,5.4862
2025-10-09,,,5.4862
2025-10-10,,,5.6271
2025-10-13,,,5.7863
2025-10-14,,,5.8781
2025-10-15,,,5.9394
2025-10-16,,,5.872
2025-10-17,,,5.8108
2025-10-20,,,5.8904
2025-10-21,,,5.872
2025-10-22,,,5.9026
2025-10-23,,,5.8781
2025-10-24,,,5.921
2025-10-27,,,5.8965
2025-10-28,,,5.8781
2025-10-29,,,5.7128
2025-10-30,,,5.7679
2025-10-31,,,5.8108
2025-11-03,,,5.9271
2025-11-04,,,6.1169
2025-11-05,,,6.1475
2025-11-06,,,6.1292
2025-11-07,,,6.123
2025-11-10,,,6.2639
2025-11-11,,,6.2026
2025-11-12,,,6.2578
2025-11-13,,,6.2761
2025-11-14,,,6.2761
2025-11-17,,,6.1782
2025-11-18,,,6.1598
2025-11-19,,,6.1353
2025-11-20,,,6.1782
2025-11-21,,,6.1292
2025-11-24,,,6.0251
2025-11-25,,,6.0679
2025-11-26,,,6.0618
2025-11-27,,,6.1292
2025-11-28,,,6.0496
2025-12-01,,,6.1598
2025-12-02,,,6.172
2025-12-03,,,6.1353
2025-12-04,,,6.0986
2025-12-05,,,6.0006
2025-12-08,,,5.9149
2025-12-09,,,5.8781
2025-12-10,,,5.9149
2025-12-11,,,5.9577
2025-12-12,,,5.9577
2025-12-15,,,6.0251
2025-12-16,,,6.019
2025-12-17,,,6.0067
2025-12-18,,,6.221
2025-12-19,,,6.1047
2025-12-22,,,5.9945
2025-12-23,,,6.0618
2025-12-24,,,6.0618
2025-12-25,,,6.0986
2025-12-26,,,6.0741
2025-12-29,,,6.2026
2025-12-30,,,6.2271
2025-12-31,,,6.1843
2026-01-05,,,6.1843
2026-01-06,,,6.0802
2026-01-07,,,6.0986
2026-01-08,,,6.0924
2026-01-09,,,6.0679
2026-01-12,,,6.1659
2026-01-13,,,6.1782
2026-01-14,,,6.0986
2026-01-15,,,6.0496
2026-01-16,,,5.9026
2026-01-19,,,5.9149
2026-01-20,,,5.9945
2026-01-21,,,5.9394
2026-01-22,,,5.8598
2026-01-23,,,5.725
2026-01-26,,,5.6699
2026-01-27,,,5.6761
2026-01-28,,,5.5903
2026-01-29,,,5.7067
2026-01-30,,,5.6577
2026-02-02,,,5.7495
2026-02-03,,,5.6761
2026-02-04,,,5.7373
2026-02-05,,,5.9822
2026-02-06,,,5.9822
2026-02-09,,,6.0434
2026-02-10,,,6.1659
2026-02-11,,,6.1843
2026-02-12,,,6.123
2026-02-13,,,6.1047
2026-02-24,,,6.0557
2026-02-25,,,5.97
2026-02-26,,,5.9761
