date,股票代码,open,close,high,low,volume,turnover,振幅,涨跌幅,涨跌额,换手率,symbol
2025-01-02,000001,11.13,10.83,11.17,10.79,1819597,2102923078.11,3.42,-2.43,-0.27,0.94,000001
2025-01-03,000001,10.84,10.78,10.94,10.76,1154680,1320520977.59,1.66,-0.46,-0.05,0.6,000001
2025-01-06,000001,10.78,10.84,10.88,10.62,1085536,1234305778.04,2.41,0.56,0.06,0.56,000001
2025-01-07,000001,10.82,10.91,10.93,10.77,747863,858329048.54,1.48,0.65,0.07,0.39,000001
2025-01-08,000001,10.9,10.9,11.03,10.8,1062386,1223598996.56,2.11,-0.09,-0.01,0.55,000001
2025-01-09,000001,10.9,10.8,10.9,10.75,751483,857836086.08,1.38,-0.92,-0.1,0.39,000001
2025-01-10,000001,10.8,10.7,10.86,10.68,798134,905005040.97,1.67,-0.93,-0.1,0.41,000001
2025-01-13,000001,10.65,10.6,10.66,10.48,934966,1044904415.84,1.68,-0.93,-0.1,0.48,000001
2025-01-14,000001,10.6,10.78,10.8,10.59,824629,934467766.39,1.98,1.7,0.18,0.42,000001
2025-01-15,000001,10.78,10.88,10.98,10.76,1031631,1185403653.43,2.04,0.93,0.1,0.53,000001
2025-01-16,000001,10.95,10.97,10.99,10.87,872964,1007689273.66,1.1,0.83,0.09,0.45,000001
2025-01-17,000001,10.93,10.85,10.95,10.82,689765,791230418.64,1.19,-1.09,-0.12,0.36,000001
2025-01-20,000001,10.9,10.82,10.92,10.8,832029,953092179.17,1.11,-0.28,-0.03,0.43,000001
2025-01-21,000001,10.85,10.73,10.85,10.72,902069,1024879174.22,1.2,-0.83,-0.09,0.46,000001
2025-01-22,000001,10.72,10.49,10.73,10.48,1347129,1504818607.18,2.33,-2.24,-0.24,0.69,000001
2025-01-23,000001,10.57,10.72,10.8,10.57,1514920,1715172472.47,2.19,2.19,0.23,0.78,000001
2025-01-24,000001,10.72,10.74,10.79,10.62,944944,1069899088.28,1.59,0.19,0.02,0.49,000001
2025-01-27,000001,10.78,10.87,10.95,10.78,1151935,1324270606.55,1.58,1.21,0.13,0.59,000001
2025-02-05,000001,10.9,10.77,10.92,10.73,843434,961193578.9,1.75,-0.92,-0.1,0.43,000001
2025-02-06,000001,10.75,10.76,10.85,10.7,955603,1084793176.26,1.39,-0.09,-0.01,0.49,000001
2025-02-07,000001,10.76,10.78,10.85,10.71,1407493,1601621979.76,1.3,0.19,0.02,0.73,000001
2025-02-10,000001,10.78,10.83,10.9,10.76,1026591,1174044624.14,1.3,0.46,0.05,0.53,000001
2025-02-11,000001,10.8,10.82,10.87,10.77,844520,963865614.95,0.92,-0.09,-0.01,0.44,000001
2025-02-12,000001,10.81,10.82,10.83,10.74,988807,1125323632.69,0.83,0.0,0.0,0.51,000001
2025-02-13,000001,10.82,10.9,10.95,10.8,1358639,1560709510.83,1.39,0.74,0.08,0.7,000001
2025-02-14,000001,10.89,10.95,10.95,10.83,973058,1118355996.56,1.1,0.46,0.05,0.5,000001
2025-02-17,000001,11.0,11.18,11.2,10.95,2061965,2413146066.57,2.28,2.1,0.23,1.06,000001
2025-02-18,000001,11.16,11.21,11.36,11.16,1996610,2371071466.89,1.79,0.27,0.03,1.03,000001
2025-02-19,000001,11.2,11.11,11.21,11.08,1177749,1382467174.27,1.16,-0.89,-0.1,0.61,000001
2025-02-20,000001,11.11,11.06,11.16,11.05,784396,917231443.37,0.99,-0.45,-0.05,0.4,000001
2025-02-21,000001,11.09,11.04,11.11,10.95,973969,1131033823.93,1.45,-0.18,-0.02,0.5,000001
2025-02-24,000001,11.03,10.99,11.09,10.96,949956,1103548964.32,1.18,-0.45,-0.05,0.49,000001
2025-02-25,000001,10.96,10.87,10.98,10.86,917156,1055685157.06,1.09,-1.09,-0.12,0.47,000001
2025-02-26,000001,10.87,10.92,11.0,10.87,841646,970641211.48,1.2,0.46,0.05,0.43,000001
2025-02-27,000001,10.93,11.02,11.03,10.86,977310,1130386662.02,1.56,0.92,0.1,0.5,000001
2025-02-28,000001,10.98,10.93,11.08,10.9,949088,1100335054.08,1.63,-0.82,-0.09,0.49,000001
2025-03-03,000001,10.92,10.91,10.96,10.85,830457,955266366.31,1.01,-0.18,-0.02,0.43,000001
2025-03-04,000001,10.87,10.91,10.95,10.84,683179,785447989.45,1.01,0.0,0.0,0.35,000001
2025-03-05,000001,10.92,11.06,11.07,10.88,1080645,1254892073.93,1.74,1.37,0.15,0.56,000001
2025-03-06,000001,11.09,11.03,11.1,11.0,877408,1021780609.28,0.9,-0.27,-0.03,0.45,000001
2025-03-07,000001,11.03,11.07,11.09,11.0,835537,973236689.8,0.82,0.36,0.04,0.43,000001
2025-03-10,000001,11.06,10.99,11.07,10.95,663834,769261385.33,1.08,-0.72,-0.08,0.34,000001
2025-03-11,000001,10.94,11.01,11.01,10.92,608975,704240463.95,0.82,0.18,0.02,0.31,000001
2025-03-12,000001,11.0,11.25,11.27,10.96,1877318,2210904482.32,2.82,2.18,0.24,0.97,000001
2025-03-13,000001,11.21,11.24,11.31,11.18,1312371,1555123173.93,1.16,-0.09,-0.01,0.68,000001
2025-03-14,000001,11.22,11.37,11.4,11.22,1722418,2057970454.4,1.6,1.16,0.13,0.89,000001
2025-03-17,000001,11.03,10.9,11.07,10.86,4603612,5315522816.99,1.85,-4.13,-0.47,2.37,000001
2025-03-18,000001,10.92,10.89,10.94,10.88,1605290,1846500421.28,0.55,-0.09,-0.01,0.83,000001
2025-03-19,000001,10.88,10.92,10.93,10.86,1362455,1566452160.69,0.64,0.28,0.03,0.7,000001
2025-03-20,000001,10.91,10.89,11.01,10.89,1101157,1268849139.57,1.1,-0.27,-0.03,0.57,000001
2025-03-21,000001,10.89,10.82,10.92,10.79,1376389,1576151833.21,1.19,-0.64,-0.07,0.71,000001
2025-03-24,000001,10.81,10.78,10.84,10.74,1164577,1325564001.84,0.92,-0.37,-0.04,0.6,000001
2025-03-25,000001,10.78,10.83,10.83,10.76,735609,839142044.46,0.65,0.46,0.05,0.38,000001
2025-03-26,000001,10.82,10.78,10.83,10.77,740863,843536936.19,0.55,-0.46,-0.05,0.38,000001
2025-03-27,000001,10.77,10.79,10.81,10.75,553349,629863382.77,0.56,0.09,0.01,0.29,000001
2025-03-28,000001,10.79,10.75,10.8,10.74,644946,732420873.55,0.56,-0.37,-0.04,0.33,000001
2025-03-31,000001,10.76,10.66,10.78,10.66,1116126,1262598263.31,1.12,-0.84,-0.09,0.58,000001
2025-04-01,000001,10.67,10.67,10.7,10.62,681470,767424131.4,0.75,0.09,0.01,0.35,000001
2025-04-02,000001,10.65,10.77,10.81,10.65,932642,1058747240.7,1.5,0.94,0.1,0.48,000001
2025-04-03,000001,10.71,10.74,10.79,10.7,643914,730375807.93,0.84,-0.28,-0.03,0.33,000001
2025-04-07,000001,10.4,10.1,10.45,9.88,2545560,2751055412.06,5.31,-5.96,-0.64,1.31,000001
2025-04-08,000001,10.08,10.22,10.25,10.06,1463988,1576590039.86,1.88,1.19,0.12,0.75,000001
2025-04-09,000001,10.13,10.2,10.23,10.06,1064394,1145238957.67,1.66,-0.2,-0.02,0.55,000001
2025-04-10,000001,10.26,10.3,10.33,10.22,866548,943352301.94,1.08,0.98,0.1,0.45,000001
2025-04-11,000001,10.27,10.29,10.3,10.23,583879,634311779.86,0.68,-0.1,-0.01,0.3,000001
2025-04-14,000001,10.35,10.33,10.44,10.32,785993,862557143.66,1.17,0.39,0.04,0.41,000001
2025-04-15,000001,10.32,10.35,10.37,10.3,722754,790139077.1,0.68,0.19,0.02,0.37,000001
2025-04-16,000001,10.33,10.4,10.41,10.31,842822,923316062.54,0.97,0.48,0.05,0.43,000001
2025-04-17,000001,10.35,10.46,10.48,10.33,823919,907597513.1,1.44,0.58,0.06,0.42,000001
2025-04-18,000001,10.44,10.58,10.59,10.43,727098,810031605.1,1.53,1.15,0.12,0.37,000001
2025-04-21,000001,10.4,10.42,10.53,10.37,1114184,1230804536.03,1.51,-1.51,-0.16,0.57,000001
2025-04-22,000001,10.42,10.44,10.46,10.38,831129,915967678.28,0.77,0.19,0.02,0.43,000001
2025-04-23,000001,10.44,10.41,10.45,10.37,586383,645842400.13,0.77,-0.29,-0.03,0.3,000001
2025-04-24,000001,10.4,10.43,10.46,10.39,689256,760348555.36,0.67,0.19,0.02,0.36,000001
2025-04-25,000001,10.44,10.41,10.45,10.39,637547,702315255.47,0.58,-0.19,-0.02,0.33,000001
2025-04-28,000001,10.4,10.4,10.44,10.36,642018,706520175.92,0.77,-0.1,-0.01,0.33,000001
