date,open,high,low,close,volume,symbol
2025-02-26,17.86,18.16,17.77,18.1,44725798,601211
2025-02-27,18.01,18.04,17.57,17.79,77068520,601211
2025-02-28,17.75,18.12,17.33,17.33,86157234,601211
2025-03-03,17.47,18.02,17.35,17.88,93617714,601211
2025-03-04,17.78,18.81,17.73,18.34,141442264,601211
2025-03-05,18.1,18.59,18.01,18.15,67189711,601211
2025-03-06,18.25,18.53,18.11,18.4,69626489,601211
2025-03-07,18.34,18.59,18.27,18.35,51693469,601211
2025-03-10,18.33,18.38,17.96,18.06,46576397,601211
2025-03-11,17.91,18.12,17.87,18.12,37131930,601211
2025-03-12,18.11,18.29,17.98,18.05,43479400,601211
2025-03-13,17.99,18.13,17.9,17.96,40287984,601211
2025-03-14,17.95,18.45,17.93,18.35,94328040,601211
2025-03-17,18.1,18.12,17.69,17.8,171379206,601211
2025-03-18,17.81,17.89,17.68,17.72,78751870,601211
2025-03-19,17.73,17.83,17.69,17.75,47803967,601211
2025-03-20,17.72,17.74,17.58,17.61,55332016,601211
2025-03-21,17.58,17.66,17.3,17.62,112314369,601211
2025-03-24,17.46,17.56,17.4,17.51,50253352,601211
2025-03-25,17.51,17.56,17.42,17.53,32849653,601211
2025-03-26,17.49,17.55,17.42,17.46,36329136,601211
2025-03-27,17.44,17.62,17.4,17.5,37798622,601211
2025-03-28,17.53,17.57,17.43,17.43,34521508,601211
2025-03-31,17.43,17.55,17.12,17.2,60663269,601211
2025-04-01,17.2,17.26,17.08,17.21,40829582,601211
2025-04-02,17.19,17.3,17.16,17.25,28838504,601211
2025-04-03,17.08,17.27,17.06,17.13,29854244,601211
2025-04-07,16.2,16.48,15.42,15.44,141853245,601211
2025-04-08,15.81,16.04,15.54,16.03,134386282,601211
2025-04-09,15.9,16.29,15.82,16.2,86413957,601211
2025-04-10,16.45,16.75,16.31,16.59,92335430,601211
2025-04-11,16.8,17.09,16.67,16.75,76536473,601211
2025-04-14,16.84,16.89,16.68,16.69,45861048,601211
2025-04-15,16.72,16.79,16.62,16.77,40041901,601211
2025-04-16,16.78,16.8,16.61,16.78,54434828,601211
2025-04-17,16.74,16.85,16.67,16.84,51573324,601211
2025-04-18,16.79,16.87,16.74,16.84,33667952,601211
2025-04-21,16.81,17.08,16.79,16.99,44977663,601211
2025-04-22,16.99,17.14,16.94,17.06,39784794,601211
2025-04-23,17.11,17.16,17.0,17.1,38956608,601211
2025-04-24,17.1,17.17,17.05,17.1,40467892,601211
2025-04-25,17.16,17.25,17.1,17.21,39624693,601211
2025-04-28,17.19,17.25,17.06,17.21,38417207,601211
2025-04-29,17.19,17.28,17.12,17.18,36673275,601211
2025-04-30,17.26,17.33,17.18,17.23,47075059,601211
2025-05-06,17.33,17.34,17.16,17.27,56720332,601211
2025-05-07,17.65,17.69,17.31,17.37,66901139,601211
2025-05-08,17.27,17.4,17.24,17.39,47247929,601211
2025-05-09,17.36,17.43,17.31,17.35,35972727,601211
2025-05-12,17.41,17.67,17.36,17.62,70810581,601211
2025-05-13,17.7,17.73,17.52,17.59,44697761,601211
2025-05-14,17.59,18.19,17.57,18.08,132614732,601211
2025-05-15,18.0,18.13,17.88,17.89,53741507,601211
2025-05-16,17.88,17.93,17.67,17.78,42623581,601211
2025-05-19,17.72,17.8,17.63,17.65,28300248,601211
2025-05-20,17.69,17.74,17.61,17.65,28000892,601211
2025-05-21,17.65,17.7,17.59,17.59,27555940,601211
2025-05-22,17.6,17.67,17.52,17.64,23771606,601211
2025-05-23,17.63,17.71,17.45,17.46,32428503,601211
2025-05-26,17.46,17.51,17.3,17.38,25476183,601211
2025-05-27,17.4,17.43,17.22,17.33,27219886,601211
2025-05-28,17.31,17.34,17.22,17.23,18116915,601211
2025-05-29,17.26,17.45,17.22,17.34,32286777,601211
2025-05-30,17.32,17.39,17.12,17.18,52476114,601211
2025-06-03,17.37,18.05,17.22,17.86,145328814,601211
2025-06-04,17.82,18.07,17.8,18.05,75484683,601211
2025-06-05,18.05,18.55,18.01,18.43,118146223,601211
2025-06-06,18.42,18.55,18.38,18.5,75339293,601211
2025-06-09,18.55,18.7,18.48,18.55,78496730,601211
2025-06-10,18.57,18.88,18.43,18.51,104697013,601211
2025-06-11,18.59,18.89,18.52,18.63,83215582,601211
2025-06-12,18.59,18.65,18.31,18.43,91198204,601211
2025-06-13,18.48,18.53,18.11,18.2,202180464,601211
2025-06-16,18.17,18.47,18.13,18.43,81289564,601211
2025-06-17,18.43,18.68,18.41,18.67,69519066,601211
2025-06-18,18.64,18.71,18.37,18.45,43329362,601211
2025-06-19,18.47,18.51,18.27,18.33,52097315,601211
2025-06-20,18.37,18.49,18.34,18.44,42650904,601211
2025-06-23,18.33,18.57,18.26,18.44,39916801,601211
2025-06-24,18.5,18.86,18.5,18.6,82851408,601211
2025-06-25,19.1,20.34,18.91,20.29,370751161,601211
2025-06-26,20.32,20.34,19.4,19.42,324235658,601211
2025-06-27,19.3,19.8,19.18,19.22,200760359,601211
2025-06-30,19.2,19.36,19.01,19.16,97166706,601211
2025-07-01,19.21,19.39,19.06,19.27,72533356,601211
2025-07-02,19.25,19.27,19.08,19.2,55259871,601211
2025-07-03,19.17,19.3,19.17,19.28,48466213,601211
2025-07-04,19.26,19.59,19.11,19.34,87010053,601211
2025-07-07,19.28,19.41,19.23,19.28,39823103,601211
2025-07-08,19.29,19.48,19.24,19.42,59094694,601211
2025-07-09,19.47,19.57,19.25,19.28,72984387,601211
2025-07-10,19.28,19.58,19.25,19.39,93633117,601211
2025-07-11,19.8,20.44,19.69,19.9,255993660,601211
2025-07-14,19.9,19.93,19.58,19.59,108662771,601211
2025-07-15,19.56,19.68,19.28,19.36,97962929,601211
2025-07-16,19.4,19.44,19.19,19.25,56340732,601211
2025-07-17,19.3,19.33,19.15,19.3,58899084,601211
2025-07-18,19.35,19.76,19.32,19.65,94992141,601211
2025-07-21,19.65,20.06,19.63,19.81,121133715,601211
2025-07-22,19.85,19.85,19.54,19.78,72742481,601211
2025-07-23,19.79,20.23,19.79,20.0,155484276,601211
2025-07-24,19.9,20.41,19.84,20.3,141804210,601211
2025-07-25,20.36,20.53,20.18,20.49,135926873,601211
2025-07-28,20.6,20.98,20.25,20.79,215984029,601211
2025-07-29,20.68,21.17,20.41,21.1,168365024,601211
2025-07-30,21.13,21.14,20.69,20.86,118138191,601211
2025-07-31,20.65,20.81,20.17,20.3,146090413,601211
2025-08-01,20.3,20.37,19.97,19.98,85041264,601211
2025-08-04,19.94,20.22,19.92,20.06,83460782,601211
2025-08-05,20.12,20.18,19.98,20.09,75812114,601211
2025-08-06,20.1,20.29,20.02,20.2,72780063,601211
2025-08-07,20.25,20.53,20.11,20.19,83152131,601211
2025-08-08,20.16,20.18,19.99,20.0,56871596,601211
2025-08-11,19.99,20.2,19.95,20.05,90099545,601211
2025-08-12,20.09,20.17,20.01,20.07,65833161,601211
2025-08-13,20.12,20.43,20.02,20.13,179970085,601211
2025-08-14,20.2,20.54,20.14,20.2,163002496,601211
2025-08-15,20.13,20.9,20.06,20.62,245130184,601211
2025-08-18,20.8,21.01,20.47,20.7,233956748,601211
