symbol,name,sw1_name,sw2_name,sw3_name,sw3_code
300999,金龙鱼,农林牧渔,农产品加工,粮油加工,850152.SI
000876,新希望,农林牧渔,养殖业,生猪养殖,850172.SI
002714,牧原股份,农林牧渔,养殖业,生猪养殖,850172.SI
300498,温氏股份,农林牧渔,养殖业,生猪养殖,850172.SI
002648,卫星化学,基础化工,化学原料,其他化学原料,850324.SI
600989,宝丰能源,基础化工,化学原料,煤化工,850325.SI
002601,龙佰集团,基础化工,化学原料,钛白粉,850326.SI
600160,巨化股份,基础化工,化学制品,氟化工,850382.SI
600309,万华化学,基础化工,化学制品,聚氨酯,850372.SI
002001,新和成,基础化工,化学制品,食品及饲料添加剂,850135.SI
603260,合盛硅业,基础化工,化学制品,有机硅,850136.SI
600426,华鲁恒升,基础化工,农化制品,氮肥,850331.SI
600019,宝钢股份,钢铁,普钢,板材,850442.SI
600010,包钢股份,钢铁,普钢,板材,850442.SI
601600,中国铝业,有色金属,工业金属,铝,850551.SI
000807,云铝股份,有色金属,工业金属,铝,850551.SI
600219,南山铝业,有色金属,工业金属,铝,850551.SI
600362,江西铜业,有色金属,工业金属,铜,850552.SI
603993,洛阳钼业,有色金属,工业金属,铜,850552.SI
000630,铜陵有色,有色金属,工业金属,铜,850552.SI
601899,紫金矿业,有色金属,工业金属,铜,850552.SI
000975,山金国际,有色金属,贵金属,黄金,850531.SI
600489,中金黄金,有色金属,贵金属,黄金,850531.SI
600547,山东黄金,有色金属,贵金属,黄金,850531.SI
600460,士兰微,电子,半导体,分立器件,850812.SI
688126,沪硅产业,电子,半导体,半导体材料,850813.SI
688041,海光信息,电子,半导体,数字芯片设计,850814.SI
002049,紫光国微,电子,半导体,数字芯片设计,850814.SI
688008,澜起科技,电子,半导体,数字芯片设计,850814.SI
688047,龙芯中科,电子,半导体,数字芯片设计,850814.SI
603986,兆易创新,电子,半导体,数字芯片设计,850814.SI
688256,寒武纪-U,电子,半导体,数字芯片设计,850814.SI
603501,豪威集团,电子,半导体,数字芯片设计,850814.SI
300661,圣邦股份,电子,半导体,模拟芯片设计,850815.SI
300782,卓胜微,电子,半导体,模拟芯片设计,850815.SI
600584,长电科技,电子,半导体,集成电路封测,850817.SI
688012,中微公司,电子,半导体,半导体设备,850818.SI
688082,盛美上海,电子,半导体,半导体设备,850818.SI
002371,北方华创,电子,半导体,半导体设备,850818.SI
600183,生益科技,电子,元件,印制电路板,850822.SI
002938,鹏鼎控股,电子,元件,印制电路板,850822.SI
002463,沪电股份,电子,元件,印制电路板,850822.SI
002916,深南电路,电子,元件,印制电路板,850822.SI
300408,三环集团,电子,元件,被动元件,850823.SI
000100,TCL科技,电子,光学光电子,面板,850831.SI
000725,京东方Ａ,电子,光学光电子,面板,850831.SI
688036,传音控股,电子,消费电子,品牌消费电子,850853.SI
601138,工业富联,电子,消费电子,消费电子零部件及组装,850854.SI
002241,歌尔股份,电子,消费电子,消费电子零部件及组装,850854.SI
002475,立讯精密,电子,消费电子,消费电子零部件及组装,850854.SI
